	KTOPL	KSTAR	KSTSN	FUNC_AREA
	CABE	631000	0000631000
	CABE	631100	0000631100
	CABE	632000	0000632000
	CABE	632100	0000632100
	CABE	633000	0000633000
	CABE	633100	0000633100
	CABE	634000	0000634000
	CABE	634100	0000634100
	CABE	635000	0000635000
	CABE	635100	0000635100
	CABE	636000	0000636000
	CABE	636100	0000636100
	CABE	637000	0000637000
	CABE	637100	0000637100
	CABE	640000	0000640000
	CABE	641000	0000641000
	CABE	642000	0000642000
	CABE	643000	0000643000
	CABE	648010	0000648010
	CABE	649000	0000649000
	CABE	649010	0000649010
	CABE	650000	0000650000
	CABE	650050	0000650050
	CABE	650100	0000650100
	CABE	650200	0000650200
	CABE	650300	0000650300
	CABE	651000	0000651000
	CABE	651100	0000651100
	CABE	651200	0000651200
	CABE	651300	0000651300
	CABE	652000	0000652000
	CABE	652100	0000652100
	CABE	652200	0000652200
	CABE	652300	0000652300
	CABE	653000	0000653000
	CABE	654000	0000654000
	CABE	654100	0000654100
	CABE	655000	0000655000
	CABE	656000	0000656000
	CABE	656010	0000656010
	CABE	656020	0000656020
	CABE	657010	0000657010
	CABE	657060	0000657060
	CABE	658000	0000658000
	CABE	659010	0000659010
	CABE	659020	0000659020
	CABE	659060	0000659060
	CABE	660000	0000660000
	CABE	660100	0000660100
	CABE	660200	0000660200
	CABE	661000	0000661000
	CABE	662000	0000662000
	CABE	663000	0000663000
	CABE	664000	0000664000
	CABE	668010	0000668010
	CABE	668020	0000668020
	CABE	669000	0000669000
	CABE	670000	0000670000
	CABE	670100	0000670100
	CABE	670200	0000670200
	CABE	671000	0000671000
	CABE	671100	0000671100
	CABE	671200	0000671200
	CABE	672000	0000672000
	CABE	673000	0000673000
	CABE	680000	0000680000
	CABE	689000	0000689000
	CABE	690000	0000690000
	CABE	691000	0000691000
	CABE	692000	0000692000
	CABE	692100	0000692100
	CABE	693000	0000693000
	CABE	694000	0000694000
	CABE	695000	0000695000
	CABE	696000	0000696000
	CABE	747200	0000747200
	CABE	747210	0000747210
	CABE	747220	0000747220
